id;numero;data_ajuizamento;id_classe;id_assunto;ano_eleicao
638633058,"00000103020166070018",2016-04-20 15:03:40.000,{12554},{11778},0
405287812,"06000824620216070000",2021-07-01 16:33:15.000,{12377},{11778},2020
405277919,"00000238420156070011",2015-05-18 16:49:33.000,{11541},{11778},0
638632762,"00000041120156070001",2015-01-30 16:22:15.000,{12551},{11778},0
638633040,"00000207620136070019",2013-06-13 14:25:37.000,{11541},{11778},0
638632852,"00000052220176070002",2017-02-13 17:36:56.000,{11531},{11778},0
638633149,"00000232720146070009",2014-06-13 12:06:31.000,{11528},{11778},0
405277383,"06000828020206070000",2020-07-07 00:00:00.000,{12377},{11778},0
579799855,"06000170520226070004",2022-05-17 14:27:35.000,{1727},{3555},2010
405289080,"00000090320156070011",2015-05-12 14:09:58.000,{11548},{11700,11701},2020
405280745,"00000145320196070021",2019-03-26 00:00:00.000,{272},{11452,11778},2018